
*
***** 帐号服务管理启动   (@ 2009/08/25 19:06:42.312) >>>>>
*

[2009/08/25 19:30:15] 149 >> 网关    free(192.168.1.88): 用户 test 登陆  失败!    --- 资金不足
[2009/08/25 19:30:15] 150 >> 数据库     0 未被使用!
[2009/08/25 19:30:24] 151 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:30:33] 152 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:30:45] 153 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:30:54] 154 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:31:03] 155 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:31:15] 156 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:31:24] 157 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:31:33] 158 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:31:45] 159 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:31:54] 160 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:32:03] 161 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:32:15] 162 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:32:24] 163 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:32:33] 164 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:32:45] 165 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:32:54] 166 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:33:03] 167 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:33:15] 168 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:33:24] 169 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:33:33] 170 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:33:45] 171 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:33:54] 172 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:34:03] 173 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:34:03] 174 >> 数据库     0 正在使用!
[2009/08/25 19:34:03] 175 >> 网关    free(192.168.1.88): 用户 yaosky 登陆  成功!     (Ext:39771)
[2009/08/25 19:34:06] 176 >> 数据库     0 未被使用!
[2009/08/25 19:34:15] 177 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:34:24] 178 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:34:33] 179 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:34:45] 180 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:34:54] 181 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:35:03] 182 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:35:12] 183 >> 数据库     0 正在使用!
[2009/08/25 19:35:12] 184 >> 网关    free(192.168.1.88): 用户 yaosky 进入游戏   成功   ! 
[2009/08/25 19:35:12] 185 >> 数据库     0 未被使用!
[2009/08/25 19:35:15] 186 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:35:24] 187 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:35:33] 188 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:35:45] 189 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:35:54] 190 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:36:03] 191 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:36:15] 192 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:36:24] 193 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:36:33] 194 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:36:45] 195 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:36:54] 196 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:37:03] 197 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:37:15] 198 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:37:24] 199 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:37:33] 200 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:37:45] 201 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:37:54] 202 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:38:03] 203 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:38:15] 204 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:38:24] 205 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:38:36] 206 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:38:45] 207 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:38:54] 208 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:39:06] 209 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:39:15] 210 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:39:24] 211 >> 数据库     0 正在使用!
[2009/08/25 19:39:24] 212 >> 网关    free(192.168.1.88): 用户 yaosky 退出   成功!     (Ext:0)
[2009/08/25 19:39:24] 213 >> 数据库     0 未被使用!
[2009/08/25 19:39:24] 214 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:39:36] 215 >> 网关客户端已退出      1 ! -- At 0
[2009/08/25 19:39:42] 正常退出!     

*
***** 帐号服务管理停止  (@ 2009/08/25 19:39:42.109) <<<<<
*

